Rank,Name,Count,Sex
1,Amelia ,"5,327",Female
2,Olivia ,"4,724",Female
3,Isla ,"4,012",Female
4,Emily ,"3,991",Female
5,Poppy ,"3,273",Female
6,Ava ,"3,171",Female
7,Isabella ,"3,022",Female
8,Jessica ,"2,995",Female
9,Lily ,"2,965",Female
10,Sophie ,"2,905",Female
11,Grace ,"2,785",Female
12,Sophia ,"2,752",Female
13,Mia ,"2,727",Female
14,Evie ,"2,664",Female
15,Ruby ,"2,595",Female
16,Ella ,"2,465",Female
17,Scarlett ,"2,359",Female
18,Isabelle ,"2,241",Female
19,Chloe ,"2,215",Female
20,Sienna ,"2,174",Female
21,Freya ,"2,164",Female
22,Phoebe ,"2,099",Female
23,Charlotte ,"2,018",Female
24,Daisy ,"1,957",Female
25,Alice ,"1,783",Female
26,Florence ,"1,781",Female
27,Eva ,"1,725",Female
28,Sofia ,"1,692",Female
29,Millie ,"1,685",Female
30,Lucy ,"1,664",Female
31,Evelyn ,"1,506",Female
32,Elsie ,"1,497",Female
33,Rosie ,"1,475",Female
34,Imogen ,"1,463",Female
35,Lola ,"1,441",Female
36,Matilda ,"1,440",Female
37,Elizabeth ,"1,398",Female
38,Layla ,"1,391",Female
39,Holly ,"1,362",Female
40,Lilly ,"1,352",Female
41,Molly ,"1,349",Female
42,Erin ,"1,343",Female
43,Ellie ,"1,308",Female
44,Maisie ,"1,221",Female
45,Maya ,"1,200",Female
46,Abigail ,"1,181",Female
47,Eliza ,"1,165",Female
48,Georgia ,"1,163",Female
49,Jasmine ,"1,155",Female
50,Esme ,"1,151",Female
51,Willow ,"1,142",Female
52,Bella ,"1,141",Female
53,Annabelle ,"1,108",Female
54,Ivy ,"1,103",Female
55,Amber ,"1,089",Female
56,Emilia ,"1,082",Female
57,Emma ,"1,071",Female
58,Summer ,"1,067",Female
59,Hannah ,"1,061",Female
60,Eleanor ,"1,049",Female
61,Harriet ,"1,016",Female
62,Rose ,990,Female
63,Amelie ,988,Female
64,Lexi ,972,Female
65,Megan ,879,Female
66,Gracie ,871,Female
67,Zara ,838,Female
68,Lacey ,829,Female
69,Martha ,807,Female
70,Anna ,804,Female
71,Violet ,754,Female
72,Darcey ,727,Female
73,Maria ,707,Female
74,Maryam ,705,Female
75,Brooke ,703,Female
76,Aisha ,702,Female
77,Katie ,701,Female
78,Leah ,683,Female
79,Thea ,678,Female
80,Darcie ,677,Female
81,Hollie ,673,Female
82,Amy ,668,Female
83,Mollie ,663,Female
84,Heidi ,662,Female
84,Lottie ,662,Female
86,Bethany ,648,Female
